coord_key,Latitude,Longitude,Temperature,Humidity,Rainfall,Soil_pH,Nitrogen,Phosphorus,Potassium,Organic_C,Soil_Type
35.1800_3.8000,35.18,3.8,17.48,52.6,380.9,8.0,7.5,3.75,8.96,10.6,Clay
35.1800_3.8800,35.18,3.88,17.32,52.67,347.6,8.0,6.9,3.45,10.16,10.0,Clay
35.1800_3.9600,35.18,3.96,18.39,51.24,345.4,8.1,6.5,3.25,9.36,8.1,Sandy
35.1800_4.0400,35.18,4.04,17.83,51.12,345.4,8.0,7.5,3.75,8.56,10.2,Clay
35.2600_1.8000,35.26,1.8,16.88,52.77,513.6,7.7,9.3,4.65,13.76,8.6,Clay
35.2600_1.8800,35.26,1.88,16.88,52.77,513.6,7.7,8.0,4.0,14.56,8.9,Clay
35.2600_1.9600,35.26,1.96,17.43,52.57,438.3,7.7,8.4,4.2,14.88,9.7,Clay
35.2600_2.0400,35.26,2.04,17.76,52.58,366.3,7.7,7.8,3.9,14.64,9.3,Clay
35.2600_2.1200,35.26,2.12,17.76,52.58,366.3,7.8,7.9,3.95,14.24,8.2,Clay
35.2600_2.2000,35.26,2.2,17.57,52.53,365.7,7.8,7.6,3.8,13.84,8.1,Clay
35.2600_2.2800,35.26,2.28,17.61,52.14,383.5,7.9,7.2,3.6,13.68,7.6,Clay
35.2600_2.3600,35.26,2.36,17.86,53.05,366.6,7.8,7.5,3.75,13.36,8.1,Clay
35.2600_2.4400,35.26,2.44,17.86,53.05,366.6,7.6,8.7,4.35,13.28,9.1,Clay
35.2600_2.5200,35.26,2.52,17.91,52.7,323.0,7.9,8.2,4.1,13.92,8.5,Clay
35.2600_2.6000,35.26,2.6,17.69,53.36,310.8,7.9,9.2,4.6,13.28,6.9,Clay
35.2600_2.6800,35.26,2.68,17.69,53.36,310.8,7.9,8.5,4.25,12.4,7.4,Clay
35.2600_2.7600,35.26,2.76,17.72,52.98,316.5,7.9,8.3,4.15,12.64,8.2,Clay
35.2600_2.8400,35.26,2.84,17.87,52.2,316.7,7.9,7.8,3.9,12.32,8.5,Clay
35.2600_2.9200,35.26,2.92,17.87,52.2,316.7,7.9,8.6,4.3,13.28,10.1,Clay
35.2600_3.0000,35.26,3.0,17.89,51.66,332.9,7.9,7.5,3.75,11.92,7.4,Clay
35.2600_3.0800,35.26,3.08,17.63,52.05,360.5,7.9,7.6,3.8,12.32,8.5,Clay
35.2600_3.1600,35.26,3.16,17.63,52.05,360.5,7.9,7.2,3.6,11.68,7.6,Clay
35.2600_3.2400,35.26,3.24,17.28,53.03,372.6,7.6,9.1,4.55,14.4,10.2,Clay
35.2600_3.3200,35.26,3.32,17.19,53.26,388.1,7.8,7.9,3.95,12.72,9.2,Clay
35.2600_3.4000,35.26,3.4,17.59,52.8,358.8,8.0,8.2,4.1,12.72,9.1,Clay
35.2600_3.4800,35.26,3.48,17.59,52.8,358.8,8.0,7.1,3.55,9.84,9.6,Clay
35.2600_3.5600,35.26,3.56,18.09,52.86,342.3,8.0,9.7,4.85,9.68,30.5,Clay
35.2600_3.6400,35.26,3.64,18.1,52.0,392.4,8.0,9.0,4.5,8.96,27.3,Clay
35.2600_3.7200,35.26,3.72,18.1,52.0,392.4,8.1,8.2,4.1,8.64,9.8,Clay
35.2600_3.8000,35.26,3.8,17.51,52.83,382.1,8.0,8.8,4.4,10.48,10.2,Clay
35.2600_3.8800,35.26,3.88,17.22,53.16,405.1,7.9,8.6,4.3,13.2,8.3,Clay
35.2600_3.9600,35.26,3.96,15.48,52.8,405.1,7.9,9.6,4.8,12.0,11.2,Clay
35.2600_4.0400,35.26,4.04,17.71,52.21,378.7,8.1,6.5,3.25,8.56,9.0,Loamy
35.3400_1.8000,35.34,1.8,17.14,53.73,440.3,7.7,9.1,4.55,14.32,10.1,Clay
35.3400_1.8800,35.34,1.88,17.14,53.73,440.3,7.7,7.4,3.7,14.08,8.5,Clay
35.3400_1.9600,35.34,1.96,17.44,53.65,456.9,7.7,8.9,4.45,14.64,9.7,Clay
35.3400_2.0400,35.34,2.04,17.69,53.64,362.8,7.7,8.3,4.15,15.28,8.8,Clay
35.3400_2.1200,35.34,2.12,17.69,53.64,362.8,7.7,8.3,4.15,14.0,7.9,Clay
35.3400_2.2000,35.34,2.2,17.75,53.36,346.8,7.8,7.7,3.85,13.36,7.6,Clay
35.3400_2.2800,35.34,2.28,17.92,52.97,338.4,7.8,8.5,4.25,14.96,7.5,Clay
35.3400_2.3600,35.34,2.36,18.1,52.74,386.2,7.9,9.7,4.85,15.28,9.8,Clay
35.3400_2.4400,35.34,2.44,18.1,52.74,386.2,7.8,7.8,3.9,14.4,7.5,Clay
35.3400_2.5200,35.34,2.52,18.0,53.16,376.5,7.8,8.0,4.0,13.52,6.7,Clay
35.3400_2.6000,35.34,2.6,17.7,53.72,320.8,7.9,7.7,3.85,14.24,7.0,Clay
35.3400_2.6800,35.34,2.68,17.7,53.72,320.8,7.7,8.5,4.25,11.92,7.8,Clay
35.3400_2.7600,35.34,2.76,17.75,53.55,326.4,7.9,7.3,3.65,12.48,7.8,Clay
35.3400_2.8400,35.34,2.84,18.02,52.63,324.4,7.9,7.4,3.7,13.2,8.3,Clay
35.3400_2.9200,35.34,2.92,18.02,52.63,324.4,7.9,8.4,4.2,11.92,8.6,Clay
35.3400_3.0000,35.34,3.0,18.27,51.62,315.8,7.9,9.0,4.5,12.24,9.9,Clay
35.3400_3.0800,35.34,3.08,18.23,51.43,314.4,8.0,8.3,4.15,12.48,8.3,Clay
35.3400_3.1600,35.34,3.16,18.23,51.43,314.4,8.0,9.8,4.9,12.8,8.6,Clay
35.3400_3.2400,35.34,3.24,17.78,52.14,347.0,8.0,8.1,4.05,12.0,8.2,Loamy
35.1000_1.8600,35.1,1.86,15.5,52.91,538.0,7.5,9.1,4.55,14.72,15.3,Loamy
35.1000_1.9200,35.1,1.92,16.55,51.89,459.4,7.6,9.5,4.75,15.52,9.2,Loamy
35.1000_1.9800,35.1,1.98,17.37,52.05,459.4,7.7,8.2,4.1,13.6,8.9,Loamy
35.1000_2.1000,35.1,2.1,17.36,51.42,348.2,7.8,7.2,3.6,14.88,7.5,Loamy
35.1000_2.1600,35.1,2.16,17.41,52.33,375.1,7.9,7.8,3.9,13.04,8.0,Loamy
35.1000_2.2200,35.1,2.22,17.41,52.33,375.1,7.8,8.2,4.1,14.32,9.1,Loamy
35.1000_2.3400,35.1,2.34,17.27,53.01,398.3,7.9,7.3,3.65,12.8,8.0,Loamy
35.1000_2.4000,35.1,2.4,17.58,52.93,330.7,7.9,7.3,3.65,12.4,7.4,Loamy
35.1000_2.4600,35.1,2.46,17.58,52.93,330.7,7.9,7.6,3.8,11.76,8.8,Loamy
35.1000_2.5800,35.1,2.58,17.68,52.51,388.8,7.9,7.5,3.75,12.0,8.2,Loamy
35.1000_2.6400,35.1,2.64,17.68,52.51,388.8,7.9,8.7,4.35,12.32,8.2,Loamy
35.1000_2.7000,35.1,2.7,17.44,52.72,426.2,7.9,8.2,4.1,13.12,7.6,Loamy
35.1000_2.8200,35.1,2.82,17.3,52.74,377.6,7.8,9.1,4.55,13.04,9.7,Loamy
35.1000_2.8800,35.1,2.88,17.3,52.74,377.6,7.8,8.9,4.45,14.72,8.9,Loamy
35.1000_2.9400,35.1,2.94,17.09,52.2,369.0,7.8,9.0,4.5,14.48,8.8,Loamy
35.1000_3.0600,35.1,3.06,17.12,51.94,333.0,7.8,8.7,4.35,15.28,8.4,Loamy
35.1000_3.1200,35.1,3.12,17.12,51.94,333.0,7.8,10.3,5.15,14.56,9.9,Loamy
35.1000_3.1800,35.1,3.18,17.54,51.67,334.4,7.8,8.4,4.2,14.64,9.2,Loamy
35.1000_3.3000,35.1,3.3,17.98,51.12,349.7,8.0,7.2,3.6,11.28,7.7,Loamy
35.1000_3.3600,35.1,3.36,17.98,51.12,349.7,8.0,7.0,3.5,10.0,12.2,Loamy
35.1000_3.4200,35.1,3.42,17.82,51.36,381.8,8.0,7.2,3.6,8.8,10.3,Loamy
35.1000_3.5400,35.1,3.54,17.46,51.62,426.5,7.9,8.0,4.0,11.52,9.6,Loamy
35.1000_3.6000,35.1,3.6,16.7,53.31,486.8,7.9,11.0,5.5,12.16,11.7,Loamy
35.1000_3.6600,35.1,3.66,17.17,52.56,435.6,7.9,9.5,4.75,13.12,10.1,Loamy
35.1000_3.7800,35.1,3.78,17.14,52.83,396.8,7.9,8.4,4.2,13.2,9.5,Loamy
35.1000_3.8400,35.1,3.84,17.14,52.83,396.8,8.0,7.6,3.8,10.0,8.6,Loamy
35.1000_3.9000,35.1,3.9,17.28,51.96,342.7,8.0,7.9,3.95,11.52,8.2,Loamy
35.1000_4.0200,35.1,4.02,17.41,51.2,335.4,7.9,9.4,4.7,12.08,9.0,Loamy
35.1000_4.0800,35.1,4.08,17.53,50.87,404.0,7.9,8.1,4.05,11.12,8.2,Loamy
35.1600_1.8000,35.16,1.8,15.05,52.83,538.0,7.6,10.4,5.2,14.64,15.6,Loamy
35.1600_1.8600,35.16,1.86,15.45,52.91,538.0,7.6,9.6,4.8,16.32,12.6,Loamy
35.1600_1.9200,35.16,1.92,17.1,51.73,441.7,7.6,9.1,4.55,15.68,9.1,Loamy
35.1600_1.9800,35.16,1.98,17.1,51.73,441.7,7.7,8.4,4.2,14.32,8.0,Loamy
35.1600_2.0400,35.16,2.04,17.65,51.88,368.3,7.9,7.5,3.75,14.64,8.5,Loamy
35.1600_2.1000,35.16,2.1,17.65,51.88,368.3,7.8,7.4,3.7,13.28,8.5,Loamy
35.1600_2.1600,35.16,2.16,16.73,52.93,369.3,7.6,8.9,4.45,12.96,9.9,Loamy
35.1600_2.2200,35.16,2.22,16.12,52.81,369.3,7.7,8.6,4.3,13.12,9.7,Loamy
35.1600_2.2800,35.16,2.28,17.39,53.34,408.7,7.7,8.2,4.1,12.88,8.5,Loamy
35.1600_2.3400,35.16,2.34,17.39,53.34,408.7,7.9,7.2,3.6,11.44,7.8,Loamy
35.1600_2.4000,35.16,2.4,17.67,53.15,348.0,7.9,8.0,4.0,11.6,8.2,Loamy
35.1600_2.4600,35.16,2.46,17.67,53.15,348.0,7.9,10.1,5.05,11.68,8.4,Loamy
35.1600_2.5200,35.16,2.52,17.83,52.59,304.1,7.8,8.4,4.2,14.0,7.2,Loamy
35.1600_2.5800,35.16,2.58,17.83,52.59,304.1,7.9,8.6,4.3,12.56,7.6,Loamy
35.1600_2.6400,35.16,2.64,17.72,52.76,329.4,7.9,9.6,4.8,11.44,9.2,Loamy
35.1600_2.7000,35.16,2.7,17.59,52.77,357.8,7.9,7.4,3.7,11.76,7.7,Loamy
35.1600_2.7600,35.16,2.76,17.59,52.77,357.8,8.0,8.0,4.0,12.16,8.7,Loamy
35.1600_2.8200,35.16,2.82,17.49,52.72,348.4,7.9,8.8,4.4,12.32,8.6,Loamy
35.1600_2.8800,35.16,2.88,17.49,52.72,348.4,7.8,9.5,4.75,12.8,9.6,Loamy
35.1600_2.9400,35.16,2.94,17.28,52.69,352.4,7.7,10.6,5.3,14.24,8.7,Loamy
35.1600_3.0000,35.16,3.0,17.28,52.69,352.4,7.6,7.5,3.75,13.12,9.5,Loamy
35.1600_3.0600,35.16,3.06,16.11,52.7,374.9,7.6,9.2,4.6,14.08,12.8,Loamy
35.1600_3.1200,35.16,3.12,17.05,52.92,374.9,7.7,7.6,3.8,14.48,8.9,Loamy
35.1600_3.1800,35.16,3.18,17.19,52.7,346.0,7.8,8.7,4.35,14.88,8.8,Clay
35.1600_3.2400,35.16,3.24,17.19,52.7,346.0,8.0,8.8,4.4,13.12,8.1,Sandy
35.1600_3.3000,35.16,3.3,17.6,52.18,339.0,8.0,7.7,3.85,10.48,8.3,Loamy
35.1600_3.3600,35.16,3.36,17.6,52.18,339.0,7.9,8.1,4.05,11.2,9.7,Loamy
35.1600_3.4200,35.16,3.42,18.11,52.3,347.1,8.1,7.3,3.65,8.96,25.1,Loamy
35.1600_3.4800,35.16,3.48,18.11,52.3,347.1,8.1,7.3,3.65,8.56,15.8,Loamy
35.1600_3.5400,35.16,3.54,18.03,51.49,344.9,8.0,7.8,3.9,9.36,9.5,Loamy
35.1600_3.6000,35.16,3.6,18.03,51.49,344.9,8.0,8.1,4.05,11.52,10.3,Loamy
35.1600_3.6600,35.16,3.66,17.78,51.77,377.0,8.0,7.8,3.9,11.36,8.6,Loamy
35.1600_3.7200,35.16,3.72,17.78,51.77,377.0,8.1,7.5,3.75,9.92,9.6,Loamy
35.1600_3.7800,35.16,3.78,17.46,52.69,380.9,8.0,8.5,4.25,11.44,9.3,Loamy
35.1600_3.8400,35.16,3.84,17.46,52.69,380.9,8.0,7.4,3.7,9.6,10.8,Loamy
35.1600_3.9000,35.16,3.9,17.29,52.76,347.6,8.0,6.7,3.35,8.72,11.0,Loamy
35.1600_3.9600,35.16,3.96,17.29,52.76,347.6,7.9,7.9,3.95,9.12,11.1,Loamy
35.1600_4.0200,35.16,4.02,17.32,51.18,335.4,8.0,8.0,4.0,10.8,8.7,Sandy
35.1600_4.0800,35.16,4.08,17.62,50.89,404.0,8.0,7.4,3.7,8.4,11.4,Loamy
35.2200_1.8000,35.22,1.8,16.71,52.84,513.6,7.6,8.7,4.35,14.24,9.9,Loamy
35.2200_1.8600,35.22,1.86,16.85,52.86,513.6,7.6,9.4,4.7,14.56,11.1,Loamy
35.2200_1.9200,35.22,1.92,15.78,52.05,535.1,7.6,10.6,5.3,15.04,12.5,Loamy
35.2200_1.9800,35.22,1.98,17.4,52.66,438.3,7.7,7.8,3.9,14.0,8.2,Loamy
35.2200_2.0400,35.22,2.04,17.65,51.88,368.3,7.7,7.3,3.65,13.84,7.6,Loamy
35.2200_2.1000,35.22,2.1,17.73,52.67,366.3,7.7,9.3,4.65,15.2,9.5,Loamy
35.2200_2.1600,35.22,2.16,17.5,53.11,369.3,7.8,7.6,3.8,12.56,8.0,Loamy
35.2200_2.2200,35.22,2.22,17.55,52.62,365.7,7.8,6.9,3.45,13.12,8.2,Loamy
35.2200_2.2800,35.22,2.28,17.39,53.34,408.7,7.8,7.2,3.6,12.48,7.8,Loamy
35.2200_2.3400,35.22,2.34,17.58,52.23,383.5,7.9,8.0,4.0,13.52,8.1,Loamy
35.2200_2.4000,35.22,2.4,17.67,53.15,348.0,7.9,7.9,3.95,12.72,7.8,Loamy
35.2200_2.4600,35.22,2.46,17.84,53.14,366.6,8.0,7.6,3.8,11.76,8.0,Loamy
35.2200_2.5200,35.22,2.52,17.83,52.59,304.1,7.9,7.8,3.9,14.4,6.9,Clay
35.2200_2.5800,35.22,2.58,17.89,52.8,323.0,7.9,8.7,4.35,11.68,7.4,Loamy
35.2200_2.6400,35.22,2.64,17.66,53.46,310.8,7.9,9.0,4.5,11.6,7.2,Loamy
35.2200_2.7000,35.22,2.7,17.59,52.77,357.8,7.9,8.7,4.35,12.16,7.4,Loamy
35.2200_2.7600,35.22,2.76,17.69,53.08,316.5,8.0,8.1,4.05,12.72,8.4,Loamy
35.2200_2.8200,35.22,2.82,17.49,52.72,348.4,7.9,7.8,3.9,12.56,8.9,Loamy
35.2200_2.8800,35.22,2.88,17.84,52.29,316.7,7.9,8.2,4.1,13.68,9.2,Loamy
35.2200_2.9400,35.22,2.94,17.28,52.69,352.4,7.9,7.6,3.8,12.32,8.7,Loamy
35.2200_3.0000,35.22,3.0,17.86,51.76,332.9,7.9,7.3,3.65,12.08,7.9,Loamy
35.2200_3.0600,35.22,3.06,17.92,52.22,360.5,7.9,7.7,3.85,14.16,9.1,Loamy
35.2200_3.1200,35.22,3.12,17.6,52.15,360.5,7.8,8.0,4.0,12.08,8.0,Loamy
35.2200_3.1800,35.22,3.18,16.47,52.54,346.0,7.6,8.9,4.45,14.72,10.4,Loamy
35.2200_3.2400,35.22,3.24,16.14,52.91,372.6,7.6,9.5,4.75,14.64,9.4,Loamy
35.2200_3.3000,35.22,3.3,17.6,52.18,339.0,7.9,7.3,3.65,11.6,8.1,Loamy
35.2200_3.3600,35.22,3.36,17.16,53.35,388.1,8.0,8.0,4.0,10.24,9.1,Loamy
35.2200_3.4200,35.22,3.42,18.11,52.3,347.1,8.0,7.0,3.5,10.88,8.2,Sandy
35.2200_3.4800,35.22,3.48,17.57,52.88,358.8,8.1,8.5,4.25,8.8,25.9,Loamy
35.2200_3.5400,35.22,3.54,18.03,51.49,344.9,8.1,9.3,4.65,10.64,28.2,Loamy
35.2200_3.6000,35.22,3.6,18.06,52.95,342.3,8.0,9.0,4.5,8.48,19.4,Loamy
35.2200_3.6600,35.22,3.66,17.78,51.77,377.0,8.1,6.8,3.4,8.88,8.9,Loamy
35.2200_3.7200,35.22,3.72,18.08,52.09,392.4,8.0,7.4,3.7,8.48,8.5,Loamy
35.2200_3.7800,35.22,3.78,17.46,52.69,380.9,8.0,6.8,3.4,8.64,8.8,Loamy
35.2200_3.8400,35.22,3.84,16.78,52.54,380.9,8.0,7.9,3.95,10.88,9.3,Loamy
35.2200_3.9000,35.22,3.9,17.29,52.76,347.6,7.9,8.0,4.0,11.12,8.8,Loamy
35.2200_3.9600,35.22,3.96,17.19,53.24,405.1,8.0,7.6,3.8,10.0,9.9,Loamy
35.2200_4.0200,35.22,4.02,18.58,52.45,378.7,8.0,7.3,3.65,9.2,10.0,Loamy
35.2200_4.0800,35.22,4.08,19.21,50.08,347.3,8.1,6.9,3.45,9.12,11.1,Sandy
35.2800_1.8000,35.28,1.8,16.85,52.86,513.6,7.6,8.7,4.35,13.28,9.0,Clay
35.2800_1.8600,35.28,1.86,16.85,52.86,513.6,7.5,8.6,4.3,14.56,9.1,Loamy
35.2800_1.9200,35.28,1.92,17.4,52.66,438.3,7.7,8.9,4.45,15.04,9.0,Loamy
35.2800_1.9800,35.28,1.98,17.4,52.66,438.3,7.7,7.9,3.95,14.8,9.4,Loamy
35.2800_2.0400,35.28,2.04,17.73,52.67,366.3,7.6,9.2,4.6,13.52,9.4,Loamy
35.2800_2.1000,35.28,2.1,17.73,52.67,366.3,7.8,7.6,3.8,13.28,7.2,Loamy
35.2800_2.1600,35.28,2.16,17.55,52.62,365.7,7.8,8.1,4.05,14.0,8.4,Loamy
35.2800_2.2200,35.28,2.22,17.55,52.62,365.7,7.8,7.9,3.95,13.76,8.7,Loamy
35.2800_2.2800,35.28,2.28,17.58,52.23,383.5,7.8,7.7,3.85,15.28,8.7,Loamy
35.2800_2.3400,35.28,2.34,17.58,52.23,383.5,7.8,7.3,3.65,14.32,9.0,Loamy
35.2800_2.4000,35.28,2.4,17.84,53.14,366.6,7.8,8.7,4.35,12.96,8.5,Loamy
35.2800_2.4600,35.28,2.46,17.84,53.14,366.6,7.7,8.9,4.45,13.04,9.1,Loamy
35.2800_2.5200,35.28,2.52,17.89,52.8,323.0,7.8,8.0,4.0,13.2,9.4,Loamy
35.2800_2.5800,35.28,2.58,17.89,52.8,323.0,7.9,8.6,4.3,13.2,7.1,Loamy
35.2800_2.6400,35.28,2.64,17.66,53.46,310.8,7.9,7.6,3.8,12.8,7.6,Clay
35.2800_2.7000,35.28,2.7,17.66,53.46,310.8,7.9,9.1,4.55,13.04,7.9,Loamy
35.2800_2.7600,35.28,2.76,17.69,53.08,316.5,7.9,7.6,3.8,12.48,7.2,Loamy
35.2800_2.8200,35.28,2.82,17.84,52.29,316.7,7.9,8.8,4.4,12.24,8.1,Loamy
35.2800_2.8800,35.28,2.88,17.84,52.29,316.7,7.9,9.9,4.95,12.56,9.7,Loamy
35.2800_2.9400,35.28,2.94,17.86,51.76,332.9,7.9,7.2,3.6,12.56,8.8,Loamy
35.2800_3.0000,35.28,3.0,17.86,51.76,332.9,7.9,7.5,3.75,12.0,8.0,Loamy
35.2800_3.0600,35.28,3.06,17.6,52.15,360.5,8.0,7.6,3.8,12.16,7.6,Loamy
35.2800_3.1200,35.28,3.12,17.6,52.15,360.5,7.9,7.6,3.8,11.84,6.9,Loamy
35.2800_3.1800,35.28,3.18,17.92,52.27,347.0,7.9,8.0,4.0,13.92,8.8,Loamy
35.2800_3.2400,35.28,3.24,17.25,53.13,372.6,7.9,7.8,3.9,12.08,7.8,Loamy
35.2800_3.3000,35.28,3.3,17.16,53.35,388.1,7.8,7.9,3.95,13.44,8.8,Loamy
35.2800_3.3600,35.28,3.36,16.26,53.15,388.1,7.6,8.9,4.45,13.92,10.0,Loamy
35.2800_3.4200,35.28,3.42,15.39,51.79,410.4,7.6,12.0,6.0,13.76,13.1,Loamy
35.2800_3.4800,35.28,3.48,17.57,52.88,358.8,7.9,7.8,3.9,10.32,10.3,Loamy
35.2800_3.5400,35.28,3.54,18.06,52.95,342.3,8.0,7.8,3.9,9.2,11.0,Loamy
35.2800_3.6000,35.28,3.6,18.06,52.95,342.3,0.0,0.0,0.0,0.0,0.0,Unknown
35.2800_3.6600,35.28,3.66,18.08,52.09,392.4,8.1,8.8,4.4,8.72,28.8,Loamy
35.2800_3.7200,35.28,3.72,18.08,52.09,392.4,8.1,11.1,5.55,9.04,10.1,Loamy
35.2800_3.7800,35.28,3.78,17.48,52.92,382.1,8.0,7.9,3.95,10.72,9.0,Loamy
35.2800_3.8400,35.28,3.84,17.48,52.92,382.1,8.0,9.0,4.5,10.24,11.4,Loamy
35.2800_3.9000,35.28,3.9,16.14,53.05,405.1,7.9,9.0,4.5,13.44,11.1,Loamy
35.2800_3.9600,35.28,3.96,17.19,53.24,405.1,7.9,7.2,3.6,9.84,9.5,Loamy
35.2800_4.0200,35.28,4.02,17.69,52.28,378.7,8.1,6.0,3.0,8.96,8.8,Sandy
35.2800_4.0800,35.28,4.08,18.72,50.02,347.3,8.0,5.4,2.7,10.16,9.1,Loamy
35.3400_1.8600,35.34,1.86,17.11,53.83,440.3,7.7,7.6,3.8,13.76,8.7,Loamy
