coord_key,Latitude,Longitude,Temperature,Humidity,Rainfall,Soil_pH,Nitrogen,Phosphorus_est,Potassium,Organic_C,Soil_Type
32.0800_2.6800,32.08,2.68,21.28,38.02,91.9,8.3,7.3,3.65,12.96,3.2,Sandy
32.0800_2.7600,32.08,2.76,21.28,38.02,91.9,8.3,6.8,3.4,13.52,3,Sandy
32.0800_2.8400,32.08,2.84,21.42,37.57,75.3,8.2,3.9,1.95,14.08,3,Sandy
32.0800_2.9200,32.08,2.92,21.63,36.85,73.4,8.2,3.9,1.95,13.52,3.6,Sandy
32.0800_3.0000,32.08,3,21.5,36.73,64.9,8.3,4.8,2.4,12.8,3.5,Sandy
32.0800_3.0800,32.08,3.08,21.5,36.73,64.9,8.3,5,2.5,12.24,3.4,Sandy
32.0800_3.1600,32.08,3.16,21.34,37.01,72,8.3,4.6,2.3,12.48,3.4,Sandy
32.0800_3.2400,32.08,3.24,21.53,36.63,79.8,8.2,5.2,2.6,11.68,3.7,Sandy
32.0800_3.3200,32.08,3.32,21.72,36.43,61.4,8.2,4.7,2.35,12.88,3.8,Sandy
32.0800_3.4000,32.08,3.4,21.72,36.43,61.4,8.2,5.1,2.55,12.16,3.7,Sandy
32.0800_3.4800,32.08,3.48,21.83,36.2,60.9,8.1,10.7,5.35,11.84,5.2,Sandy
32.0800_3.5600,32.08,3.56,22.05,35.93,68.9,8.2,5.5,2.75,11.76,3.5,Sandy
32.0800_3.6400,32.08,3.64,22.05,35.93,68.9,8.3,5.8,2.9,12.64,3.6,Sandy
32.0800_3.7200,32.08,3.72,22.36,35.78,66.6,8.3,6,3,12.08,3.5,Sandy
32.0800_3.8000,32.08,3.8,22.46,36.08,62,8.3,4.6,2.3,12.48,3.2,Sandy
32.0800_3.8800,32.08,3.88,22.45,36.31,74.8,8.2,7.7,3.85,11.6,3.2,Sandy
32.0800_3.9600,32.08,3.96,22.45,36.31,74.8,8.2,4.6,2.3,11.84,3.6,Sandy
32.0800_4.0400,32.08,4.04,22.58,36.17,72,8.1,4.4,2.2,11.6,3.4,Sandy
32.0800_4.1200,32.08,4.12,22.82,36.04,73.5,8.2,7,3.5,11.04,3.4,Sandy
32.0800_4.2000,32.08,4.2,22.9,36.32,90.9,8.2,7.5,3.75,12.56,3.7,Sandy
32.0800_4.2800,32.08,4.28,22.9,36.32,90.9,8.2,7.1,3.55,11.36,3.6,Sandy
32.0800_4.3600,32.08,4.36,22.97,36.43,80.5,8.2,7,3.5,11.6,3.5,Sandy
32.0800_4.4400,32.08,4.44,23.09,36.25,97.6,8.3,7.1,3.55,11.76,3.6,Clay
32.0800_4.5200,32.08,4.52,23.15,36.29,86,8.2,7.7,3.85,11.76,3.8,Clay
32.0800_4.6000,32.08,4.6,23.15,36.29,86,8.2,7.9,3.95,12.16,3.8,Sandy
32.0800_4.6800,32.08,4.68,23.21,36.25,91.9,8.2,8.5,4.25,12.4,3.9,Sandy
32.0800_4.7600,32.08,4.76,23.28,36.13,67.9,8.3,8.2,4.1,12.16,3.9,Sandy
32.0800_4.8400,32.08,4.84,23.31,36.26,83.7,8.3,7.9,3.95,12.4,3.6,Clay
32.0800_4.9200,32.08,4.92,23.31,36.26,83.7,8.3,7.8,3.9,12.32,3.5,Sandy
32.0800_5.0000,32.08,5,23.36,36.31,75.6,8.3,7.6,3.8,11.76,3.5,Sandy
32.0800_5.0800,32.08,5.08,23.42,36.28,54.5,8.3,7.4,3.7,12.4,3,Sandy
32.0800_5.1600,32.08,5.16,23.42,36.28,54.5,8.3,4.9,2.45,12.48,3,Sandy
32.0800_5.2400,32.08,5.24,23.57,36.23,64.5,8.3,5.1,2.55,13.04,3.1,Sandy
32.0800_5.3200,32.08,5.32,23.66,36.21,71.3,8.3,7.8,3.9,12.88,3.3,Sandy
32.0800_5.4000,32.08,5.4,23.73,36.33,85.8,8.3,7.7,3.85,12.8,3,Sandy
32.0800_5.4800,32.08,5.48,23.73,36.33,85.8,8.3,7.6,3.8,13.28,3.4,Sandy
32.0800_5.5600,32.08,5.56,23.7,36.36,89.4,8.2,7.4,3.7,12.72,3.1,Sandy
32.0800_5.6400,32.08,5.64,23.59,36.71,76.6,8.2,7.5,3.75,12.72,3.3,Clay
32.0800_5.7200,32.08,5.72,23.5,37.09,74.2,8.2,7.6,3.8,12.4,3.1,Sandy
32.0800_5.8000,32.08,5.8,23.5,37.09,74.2,8.2,7.2,3.6,13.12,3.4,Sandy
32.0800_5.8800,32.08,5.88,23.48,37.24,90.8,8.3,7.3,3.65,12,2.6,Clay
32.0800_5.9600,32.08,5.96,23.49,37.28,80.5,8.2,7.3,3.65,12.48,3.3,Sandy
32.0800_6.0400,32.08,6.04,23.46,37.42,73.5,8.2,8.1,4.05,13.36,3.2,Clay
32.0800_6.1200,32.08,6.12,23.46,37.42,73.5,8.2,7.6,3.8,12.4,3.2,Sandy
32.0800_6.2000,32.08,6.2,23.41,37.7,81.5,8.2,7.5,3.75,12.48,3.1,Sandy
32.0800_6.2800,32.08,6.28,23.38,37.9,87.2,8.2,7,3.5,10,3.4,Sandy
32.0800_6.3600,32.08,6.36,23.34,38.15,90.4,8.1,6.8,3.4,10.32,3.1,Sandy
32.0800_6.4400,32.08,6.44,23.34,38.15,90.4,8.1,7.1,3.55,12.16,4.3,Sandy
32.0800_6.5200,32.08,6.52,23.28,38.42,89.6,8.1,6.9,3.45,11.6,3,Sandy
32.0800_6.6000,32.08,6.6,23.25,38.52,85.9,8.2,6.9,3.45,11.6,3.5,Sandy
32.0800_6.6800,32.08,6.68,23.25,38.52,85.9,8.1,6.8,3.4,11.36,3.4,Sandy
32.0800_6.7600,32.08,6.76,23.23,38.68,70,8.1,7,3.5,10.48,3.5,Sandy
32.0800_6.8400,32.08,6.84,23.2,38.83,64,8.1,6.9,3.45,11.36,3.2,Sandy
32.0800_6.9200,32.08,6.92,23.2,38.81,71,8.1,6.8,3.4,12.56,3.2,Sandy
32.0800_7.0000,32.08,7,23.2,38.81,71,8.1,7.1,3.55,11.76,3.4,Sandy
32.0800_7.0800,32.08,7.08,23.22,38.79,67.5,8,7.1,3.55,12.16,3.4,Sandy
32.0800_7.1600,32.08,7.16,23.22,38.95,78.8,8,7.2,3.6,12.96,3.1,Sandy
32.0800_7.2400,32.08,7.24,23.18,39.11,87.6,8,9.8,4.9,11.6,3.1,Clay
32.0800_7.3200,32.08,7.32,23.18,39.11,87.6,8,9.9,4.95,12.56,2.9,Sandy
32.0800_7.4000,32.08,7.4,23.11,39.34,76.2,8,10.3,5.15,11.52,2.8,Clay
32.0800_7.4800,32.08,7.48,22.98,39.52,69.9,8,10,5,11.84,2.9,Sandy
32.0800_7.5600,32.08,7.56,22.96,39.55,55.9,8.1,10.1,5.05,10.96,3.1,Sandy
32.0800_7.6400,32.08,7.64,22.96,39.55,55.9,8.1,9.9,4.95,11.2,2.9,Clay
